Status,Year,Month,Day,Hours (UTC),Depth_n1,Depth_n2,Depth_n3,Depth_n4,Depth_n5,Depth_n6,Depth_n7,Depth_n8,Depth_n9,Depth_n10,Depth_n11,Depth_n12,Depth_n13,Depth_n14,Depth_n15,Depth_n16,Depth_n17,Depth_n18,Depth_n19,Depth_n20,Depth_n21,Depth_n22,Depth_n23,Depth_n24,Depth_n25,Depth_n26,Depth_n27,Depth_n28,Depth_n29,Depth_n30,Depth_n31,Depth_n32,Depth_n33,Depth_n34,Depth_n35,Depth_n36,Depth_n37,Depth_n38,Depth_n39,Depth_n40,Depth_n41,Depth_n42,Depth_n43,Depth_n44,Depth_n45,Depth_n46,Depth_n47,Depth_n48,Depth_n49,Depth_n50
as-left,2015,4,17,0,NaN,NaN,NaN,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,35,40,45,50,53,56
as-left,2015,8,11,0,-0.9,-0.2,0.1,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,35,40,45,50,53,56
as-found,2016,7,21,0,0.4,1.3,1.5,1.4,1.9,2.4,2.9,3.4,3.9,4.4,4.9,5.4,5.9,6.4,6.9,7.4,7.9,8.4,8.9,9.4,9.9,10.4,10.9,11.4,12.4,13.4,14.4,15.4,16.4,17.4,18.4,19.4,20.4,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4,29.4,30.4,31.4,36.4,41.4,46.4,51.4,54.4,57.4
as-left,2016,8,4,0,-1.2,-0.2,NaN,1.4,1.9,2.4,2.9,3.4,3.9,4.4,4.9,5.4,5.9,6.4,6.9,7.4,7.9,8.4,8.9,9.4,9.9,10.4,10.9,11.4,12.4,13.4,14.4,15.4,16.4,17.4,18.4,19.4,20.4,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4,29.4,30.4,31.4,36.4,41.4,46.4,51.4,54.4,57.4
