Status,Year,Month,Day,Hours (UTC),Depth_n1,Depth_n2,Depth_n3,Depth_n4,Depth_n5,Depth_n6,Depth_n7,Depth_n8,Depth_n9,Depth_n10,Depth_n11,Depth_n12,Depth_n13,Depth_n14,Depth_n15,Depth_n16,Depth_n17,Depth_n18,Depth_n19,Depth_n20,Depth_n21,Depth_n22,Depth_n23,Depth_n24,Depth_n25,Depth_n26,Depth_n27,Depth_n28,Depth_n29,Depth_n30,Depth_n31,Depth_n32,Depth_n33,Depth_n34,Depth_n35,Depth_n36,Depth_n37,Depth_n38,Depth_n39,Depth_n40,Depth_n41,Depth_n42,Depth_n43,Depth_n44,Depth_n45,Depth_n46,Depth_n47,Depth_n48,Depth_n49,Depth_n50
as-left,2015*,8,9,0,-1.5,-0.6,0,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,35,40,45,50,52.5,55
as-found,"2016""",8,3,0,-0.1,0.4,0.8,1.3,1.8,2.3,2.8,3.3,3.8,4.3,4.8,5.3,5.8,6.3,6.8,7.3,7.8,8.3,8.8,9.3,9.8,10.3,10.8,11.3,12.3,13.3,14.3,15.3,16.3,17.3,18.3,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3,31.3,36.3,41.3,46.3,51.3,53.8,56.3
as-left,2016*,8,6,0,-0.8,-0.1,0.9,1.3,1.8,2.3,2.8,3.3,3.8,4.3,4.8,5.3,5.8,6.3,6.8,7.3,7.8,8.3,8.8,9.3,9.8,10.3,10.8,11.3,12.3,13.3,14.3,15.3,16.3,17.3,18.3,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3,31.3,36.3,41.3,46.3,51.3,53.8,56.3
